email,regex,mx,smtp,status
nicole@kaiserbackinstitute.com,valid,valid,invalid,Invalid
drgabe@everestchiropractor.com,valid,invalid,-,Invalid
nicole@kaiserbackinstitute.com,valid,valid,invalid,Invalid
emailaskenaschiro@gmail.com,valid,valid,invalid,Invalid
ddrrayomid@gmail.com,valid,valid,invalid,Invalid
ny716-551-0970covellchiropractic@gmail.com,valid,valid,invalid,Invalid
drmeflores@gmail.com,valid,valid,invalid,Invalid
lancasterdepewchiropratic@gmail.com,valid,valid,invalid,Invalid
tandardcbd@gmail.com,valid,valid,invalid,Invalid
cistianleeusmc@gmail.com,valid,valid,invalid,Invalid
greenlaborganic9777@gmail.com,valid,valid,invalid,Invalid
info@samstarshoes.com,valid,valid,invalid,Invalid
info@hisgardennaturals.com,valid,invalid,-,Invalid
jumps@gmail.com,valid,valid,invalid,Invalid
mylikeshoeofficial@gmail.com,valid,valid,invalid,Invalid
robinoss@gmail.com,valid,valid,invalid,Invalid
-clote@gmail.com,valid,valid,invalid,Invalid
_rhinocerostun@gmail.com,valid,valid,invalid,Invalid
emiratesneeds@gmail.com,valid,valid,invalid,Invalid
afterhopngos@gmail.com,valid,valid,invalid,Invalid
scarpersshoes@gmail.com,valid,valid,invalid,Invalid
miascistmasgallery@gmail.com,valid,valid,invalid,Invalid
.lavenderblue@gmail.com,valid,valid,invalid,Invalid
powermerchant@yahoo.com,valid,valid,invalid,Invalid
emailnoraure@gmail.com,valid,valid,invalid,Invalid
limitslowsshop@gmail.com,valid,valid,invalid,Invalid
email@gmail.com,valid,valid,invalid,Invalid
_fishsashop@gmail.com,valid,valid,invalid,Invalid
georgecannon8904@gmail.com,valid,valid,invalid,Invalid
evprofita@gmail.com,valid,valid,invalid,Invalid
_scarhaha@gmail.com,valid,valid,invalid,Invalid
storeuretin@gmail.com,valid,valid,invalid,Invalid
nom@gmail.com,valid,valid,invalid,Invalid
obeiobei@gmail.com,valid,valid,invalid,Invalid
lolita@gmail.com,valid,valid,invalid,Invalid
youvimicute@gmail.com,valid,valid,invalid,Invalid
mania@gmail.com,valid,valid,invalid,Invalid
@uberbazaar.com,invalid,-,-,Invalid
khushi.gmail.com,invalid,-,-,Invalid
@gmail.com,invalid,-,-,Invalid
email,invalid,-,-,Invalid
fullsavercontact@gmail.com,valid,valid,invalid,Invalid
natajkrupa@gmail.com,valid,valid,invalid,Invalid
gofrestcontact@gmail.com,valid,valid,invalid,Invalid
srifuniturevillageofficial@gmail.com,valid,valid,invalid,Invalid
swisscranecontact@gmail.com,valid,valid,invalid,Invalid
businessasusualcc@gmail.com,valid,valid,invalid,Invalid
click2cart.com@gmail.com,valid,valid,invalid,Invalid
email,invalid,-,-,Invalid
neha@outlook.com,valid,valid,invalid,Invalid
nicole@kaiserbackinstitute.com,valid,valid,invalid,Invalid
nicole@kaiserbackinstitute.com,valid,valid,invalid,Invalid
nicole@kaiserbackinstitute.com,valid,valid,invalid,Invalid
kuchbhi@gmail.com,valid,valid,invalid,Invalid
abc@gmail.com,valid,valid,invalid,Invalid
123@gmail.com,valid,valid,invalid,Invalid
lancasterdepewchiropratic@gmail.com,valid,valid,invalid,Invalid
emailaskenaschiro@gmail.com,valid,valid,invalid,Invalid
ny716-551-0970covellchiropractic@gmail.com,valid,valid,invalid,Invalid
ddrrayomid@gmail.com,valid,valid,invalid,Invalid
greenlaborganic9777@gmail.com,valid,valid,invalid,Invalid
tandardcbd@gmail.com,valid,valid,invalid,Invalid
jumps@gmail.com,valid,valid,invalid,Invalid
robinoss@gmail.com,valid,valid,invalid,Invalid
drmeflores@gmail.com,valid,valid,invalid,Invalid
emiratesneeds@gmail.com,valid,valid,invalid,Invalid
mylikeshoeofficial@gmail.com,valid,valid,invalid,Invalid
_rhinocerostun@gmail.com,valid,valid,invalid,Invalid
cistianleeusmc@gmail.com,valid,valid,invalid,Invalid
-clote@gmail.com,valid,valid,invalid,Invalid
scarpersshoes@gmail.com,valid,valid,invalid,Invalid
afterhopngos@gmail.com,valid,valid,invalid,Invalid
email@gmail.com,valid,valid,invalid,Invalid
emailnoraure@gmail.com,valid,valid,invalid,Invalid
.lavenderblue@gmail.com,valid,valid,invalid,Invalid
_fishsashop@gmail.com,valid,valid,invalid,Invalid
miascistmasgallery@gmail.com,valid,valid,invalid,Invalid
georgecannon8904@gmail.com,valid,valid,invalid,Invalid
_scarhaha@gmail.com,valid,valid,invalid,Invalid
limitslowsshop@gmail.com,valid,valid,invalid,Invalid
storeuretin@gmail.com,valid,valid,invalid,Invalid
emailaskenaschiro@gmail.com,valid,valid,invalid,Invalid
evprofita@gmail.com,valid,valid,invalid,Invalid
powermerchant@yahoo.com,valid,valid,invalid,Invalid
contact@stapleeast.com,valid,valid,invalid,Invalid
emailaskenaschiro@gmail.com,valid,valid,invalid,Invalid
info@ronron-lolita.com,valid,valid,invalid,Invalid
info@samstarshoes.com,valid,valid,invalid,Invalid
drgabe@everestchiropractor.com,valid,valid,invalid,Invalid
drgabe@everestchiropractor.com,valid,valid,invalid,Invalid
drgabe@everestchiropractor.com,valid,valid,invalid,Invalid
marcia90@jackson-singleton.net,valid,invalid,-,Invalid
hflynn@hotmail.com,valid,valid,invalid,Invalid
bdavis@hotmail.com,valid,valid,invalid,Invalid
barrymartinez@hotmail.com,valid,valid,invalid,Invalid
danielkarina@hotmail.com,valid,valid,invalid,Invalid
ddrrayomid@gmail.com,valid,valid,invalid,Invalid
pjohns@bishop.com,valid,invalid,-,Invalid
ny716-551-0970covellchiropractic@gmail.com,valid,valid,invalid,Invalid
zbowen@brady-garner.biz,valid,invalid,-,Invalid
lancasterdepewchiropratic@gmail.com,valid,valid,invalid,Invalid
drmeflores@gmail.com,valid,valid,invalid,Invalid
jessicawilson@wilkins.biz,valid,invalid,-,Invalid
danieladams@horn-hartman.biz,valid,invalid,-,Invalid
zsantos@johnson.info,valid,invalid,-,Invalid
mccarthychristopher@woods-perez.info,valid,invalid,-,Invalid
tashamcdowell@mills.org,valid,invalid,-,Invalid
joseph50@gonzalez-howard.com,valid,invalid,-,Invalid
stephanielin@evans.com,valid,invalid,-,Invalid
andersonamanda@smith.com,valid,invalid,-,Invalid
zunigawilliam@smith.com,valid,invalid,-,Invalid
williamsrachel@jensen-jones.net,valid,invalid,-,Invalid
houstonaaron@smith.com,valid,invalid,-,Invalid
rcontreras@ingram.biz,valid,invalid,-,Invalid
danielle69@reed-murray.net,valid,invalid,-,Invalid
klewis@vasquez.com,valid,invalid,-,Invalid
gduarte@sullivan-robinson.com,valid,invalid,-,Invalid
anthony32@hill-warner.com,valid,invalid,-,Invalid
qwarner@yahoo.com,valid,valid,invalid,Invalid
nguyenlisa@estrada-mcintyre.net,valid,invalid,-,Invalid
daniel71@summers.com,valid,invalid,-,Invalid
sean24@montgomery-smith.com,valid,invalid,-,Invalid
palmerfrederick@underwood.com,valid,invalid,-,Invalid
codyhughes@turner-hernandez.com,valid,invalid,-,Invalid
williamoneal@yahoo.com,valid,valid,invalid,Invalid
heathchristine@west-higgins.biz,valid,invalid,-,Invalid
melanie35@banks.biz,valid,invalid,-,Invalid
mlawrence@hotmail.com,valid,valid,invalid,Invalid
brianbush@avery.org,valid,invalid,-,Invalid
farleymichelle@gmail.com,valid,valid,invalid,Invalid
lori01@hotmail.com,valid,valid,invalid,Invalid
wesley02@hotmail.com,valid,valid,invalid,Invalid
robinlove@hotmail.com,valid,valid,invalid,Invalid
qflores@hotmail.com,valid,valid,invalid,Invalid
goodwinamy@hotmail.com,valid,valid,invalid,Invalid
adrianward@yahoo.com,valid,valid,invalid,Invalid
angelatran@yahoo.com,valid,valid,invalid,Invalid
bwells@gmail.com,valid,valid,invalid,Invalid
paula54@gmail.com,valid,valid,invalid,Invalid
ohowell@yahoo.com,valid,valid,invalid,Invalid
udominguez@hotmail.com,valid,valid,invalid,Invalid
vmartin@hotmail.com,valid,valid,invalid,Invalid
davidwilliams@riddle.com,valid,valid,invalid,Invalid
sballard@yahoo.com,valid,valid,invalid,Invalid
jacksonbrian@mullen.info,valid,invalid,-,Invalid
gregoryconley@jacobson.com,valid,valid,invalid,Invalid
margaretwong@yahoo.com,valid,valid,invalid,Invalid
davidberry@yahoo.com,valid,valid,invalid,Invalid
reedjasmine@yahoo.com,valid,valid,invalid,Invalid
laurajones@yahoo.com,valid,valid,invalid,Invalid
andrew59@yahoo.com,valid,valid,invalid,Invalid
hfigueroa@hotmail.com,valid,valid,invalid,Invalid
wanda50@montgomery.com,valid,valid,invalid,Invalid
christina52@rollins.com,valid,valid,invalid,Invalid
amartinez@yahoo.com,valid,valid,invalid,Invalid
pamelahughes@hoffman-harris.net,valid,invalid,-,Invalid
gcook@jenkins.com,valid,valid,invalid,Invalid
briansweeney@hotmail.com,valid,valid,invalid,Invalid
justinmartinez@yahoo.com,valid,valid,invalid,Invalid
karen10@yahoo.com,valid,valid,invalid,Invalid
jenniferherrera@yahoo.com,valid,valid,invalid,Invalid
heather04@hotmail.com,valid,valid,invalid,Invalid
robinsonjose@bryant-chandler.com,valid,invalid,-,Invalid
teresagarcia@hotmail.com,valid,valid,invalid,Invalid
freemanshannon@hotmail.com,valid,valid,invalid,Invalid
sdaniel@lewis-warner.com,valid,invalid,-,Invalid
meredith55@thomas.com,valid,invalid,-,Invalid
leechristine@holloway.org,valid,valid,invalid,Invalid
melissahoward@snyder.net,valid,valid,invalid,Invalid
scottamanda@franklin.org,valid,valid,invalid,Invalid
kylecastaneda@montoya.com,valid,valid,invalid,Invalid
christopher58@gmail.com,valid,valid,invalid,Invalid
toddalicia@robertson-brown.biz,valid,invalid,-,Invalid
johnsonvictoria@perkins.com,valid,valid,invalid,Invalid
angela06@yahoo.com,valid,valid,invalid,Invalid
hsoto@smith.com,valid,invalid,-,Invalid
jacobgarcia@hotmail.com,valid,valid,invalid,Invalid
vbell@hotmail.com,valid,valid,invalid,Invalid
gabrielle88@taylor.com,valid,valid,invalid,Invalid
sarahday@adams.com,valid,invalid,-,Invalid
julia08@hotmail.com,valid,valid,invalid,Invalid
annamckee@yahoo.com,valid,valid,invalid,Invalid
hansonethan@cross-gibson.net,valid,invalid,-,Invalid
gharris@johnston.org,valid,valid,invalid,Invalid
martinnicholas@clark.com,valid,valid,invalid,Invalid
ydunn@gmail.com,valid,valid,invalid,Invalid
timothy31@hotmail.com,valid,valid,invalid,Invalid
melissavazquez@hernandez-murphy.com,valid,invalid,-,Invalid
justin93@hotmail.com,valid,valid,invalid,Invalid
zodonnell@yahoo.com,valid,valid,invalid,Invalid
megan20@yahoo.com,valid,valid,invalid,Invalid
omendoza@yahoo.com,valid,valid,invalid,Invalid
huangemily@williams-bentley.com,valid,invalid,-,Invalid
samanthalopez@hotmail.com,valid,valid,invalid,Invalid
thomascook@yahoo.com,valid,valid,invalid,Invalid
amandahall@hotmail.com,valid,valid,invalid,Invalid
crystalevans@yahoo.com,valid,valid,invalid,Invalid
nicolelittle@hotmail.com,valid,valid,invalid,Invalid
timothylandry@hotmail.com,valid,valid,invalid,Invalid
ijackson@hotmail.com,valid,valid,invalid,Invalid
zacharygilmore@hotmail.com,valid,valid,invalid,Invalid
wturner@hotmail.com,valid,valid,invalid,Invalid
katie76@hotmail.com,valid,valid,invalid,Invalid
grice@gmail.com,valid,valid,invalid,Invalid
kristenmartin@lee.org,valid,valid,invalid,Invalid
dana46@hunter.com,valid,valid,invalid,Invalid
mooretracy@yahoo.com,valid,valid,invalid,Invalid
mathewwilkerson@heath.net,valid,valid,invalid,Invalid
stanleyellis@taylor.biz,valid,valid,invalid,Invalid
xconway@johnston.info,valid,valid,invalid,Invalid
samanthaalvarez@hotmail.com,valid,valid,invalid,Invalid
diazjohn@brown.com,valid,valid,invalid,Invalid
andersonpaula@cox.com,valid,valid,invalid,Invalid
kporter@yahoo.com,valid,valid,invalid,Invalid
melissayoung@hurley.com,valid,valid,invalid,Invalid
sanderson@hill.net,valid,valid,invalid,Invalid
marquezjasmine@bates.com,valid,valid,invalid,Invalid
kellywheeler@manning.biz,valid,valid,invalid,Invalid
jill30@anderson.org,valid,valid,invalid,Invalid
marychapman@king.info,valid,valid,invalid,Invalid
samanthajones@cox-adams.biz,valid,invalid,-,Invalid
debbie51@ortiz.com,valid,valid,invalid,Invalid
kellyderrick@robertson-smith.org,valid,invalid,-,Invalid
nrussell@marsh.info,valid,invalid,-,Invalid
bennettdillon@miller.biz,valid,invalid,-,Invalid
collinsjulie@cantu-hines.com,valid,invalid,-,Invalid
carol42@campbell-harris.biz,valid,invalid,-,Invalid
jessica68@ayers-fisher.com,valid,invalid,-,Invalid
benjaminrodriguez@griffin-gibson.com,valid,invalid,-,Invalid
maria99@gonzalez.info,valid,invalid,-,Invalid
derek95@rodriguez-smith.com,valid,invalid,-,Invalid
lopezjeremy@holloway-garcia.com,valid,invalid,-,Invalid
davisryan@stewart.biz,valid,invalid,-,Invalid
yumelissa@sanchez.com,valid,invalid,-,Invalid
blackbenjamin@johnston.com,valid,invalid,-,Invalid
cindyorr@burton-mclaughlin.com,valid,invalid,-,Invalid
hicksmary@parker-wong.com,valid,invalid,-,Invalid
fturner@alexander-cruz.com,valid,invalid,-,Invalid
