email,syntax_valid,domain_exists,mx_record_exists,role_based,disposable,smtp_valid,blacklist,catch_all,status,verdict
"index,organization id,name,website,country,description,founded,industry,number of employees",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"1,e84a904909df528,liu-hoover,http://www.day-hartman.org/,western sahara,ergonomic zero administration knowledge user,1980,online publishing,6852",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"2,aac4f9abf86eaef,orr-armstrong,https://www.chapman.net/,algeria,ergonomic radical budgetary management,1970,import / export,7994",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"3,ad2eb3c8c24db87,gill-lamb,http://lin.com/,cote d'ivoire,programmable intermediate conglomeration,2005,apparel / fashion,5105",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"4,d76bb12e5ee165b,bauer-weiss,https://gillespie-stout.com/,united states of america,synergistic maximized definition,2015,dairy,9069",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"5,2f31eddf2db9aae,love-palmer,https://kramer.com/,denmark,optimized optimizing moderator,2010,management consulting,6991",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"6,6774dc1db00bd11,""farmer, edwards and andrade"",http://wolfe-boyd.com/,norfolk island,virtual leadingedge benchmark,2003,mental health care,3503",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"7,116b5cd4ee1faac,""bass, hester and mcclain"",https://meza-smith.com/,uzbekistan,multi-tiered system-worthy hub,1994,computer hardware,2762",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"8,ab2ea15d98b6bd4,""strickland, gray and jensen"",http://kerr.info/,israel,team-oriented fresh-thinking knowledge user,1987,performing arts,7020",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"9,0c6d831e8dcecfe,""sparks, decker and powell"",https://www.howe.net/,israel,down-sized content-based info-mediaries,1977,marketing / advertising / sales,2709",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"10,9abe0c8aee135d6,""osborn, ford and macdonald"",http://www.mcdonald-watts.biz/,syrian arab republic,optional coherent focus group,1990,investment banking / venture,5731",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"11,c494abe0cdb9c70,gonzales inc,http://lara.org/,angola,enterprise-wide attitude-oriented conglomeration,2019,capital markets / hedge fund / private equity,2252",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"12,9fbf69aa2d9aaf1,""ballard, goodman and boone"",http://berger-chen.info/,iran,multi-layered zero administration ability,2019,logistics / procurement,6165",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"13,4eb9d3e5cf79b91,""bernard, payne and spencer"",http://williamson.net/,afghanistan,polarized dynamic projection,1990,transportation,730",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"14,e5ca6529dcd4030,mcpherson-blanchard,http://www.ward.com/,bulgaria,integrated didactic product,1972,law enforcement,9890",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"15,b0bbebb36babb35,""koch, gomez and hays"",http://ewing-rosario.biz/,french southern territories,operative national superstructure,1997,financial services,8497",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"16,cda7ec784d5a8bd,""meza, ramirez and braun"",https://hardy.biz/,timor-leste,customer-focused multi-tasking ability,2012,public relations / pr,5205",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"17,b7cbe6a9e79a56f,""morales, hinton and gibbs"",https://hudson.com/,serbia,seamless global utilization,2014,museums / institutions,6706",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"18,e5cab57fff6f4bd,abbott-arroyo,http://delgado.net/,hungary,visionary holistic firmware,1994,architecture / planning,117",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"19,3851f381ea54d70,trevino-foley,https://baxter.com/,canada,enterprise-wide 6thgeneration parallelism,1973,wine / spirits,6765",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"20,2fadd3ac0fb4052,""bowman, walters and sawyer"",https://www.drake-calhoun.com/,yemen,exclusive client-server collaboration,1988,think tanks,5926",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"21,0502b16c90e7072,shepherd plc,http://bailey.org/,jamaica,sharable zero-defect methodology,1972,newspapers / journalism,5687",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"22,12b447dff9eef1f,""solis, knapp and nash"",https://www.finley.biz/,marshall islands,visionary content-based model,1978,aviation / aerospace,9277",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"23,efc5c915acbf437,""young, buchanan and vazquez"",http://www.gregory-chapman.com/,greenland,customizable disintermediate attitude,2005,sports,8299",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"24,3dc422c0ac77de1,""ford, patel and singleton"",http://cook.biz/,iraq,centralized intangible knowledge user,2011,defense / space,7245",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"25,f86a2ca7a4def88,king inc,https://love.info/,french southern territories,phased logistical project,2013,real estate / mortgage,7464",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"26,faacec3019bf7f5,jacobs-kline,https://www.smith-hardin.org/,bhutan,inverse 6thgeneration pricing structure,1988,sporting goods,2788",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"27,87dfb4dddddc345,""hardin, walsh and arias"",http://www.middleton.biz/,thailand,inverse methodical solution,1980,graphic design / web design,3738",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"28,6a4dad8c40aa962,""mccann, dominguez and ray"",http://www.deleon.com/,guadeloupe,mandatory systemic moderator,2016,broadcast media,8641",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"29,8dddb95ec0bdff3,beltran ltd,http://www.ray-proctor.net/,uzbekistan,digitized 4thgeneration encryption,2016,media production,2952",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"30,8b901f70eaf1bbe,chaney-kent,https://edwards-gutierrez.com/,hungary,expanded analyzing graphic interface,1972,professional training,1075",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"31,99c991d513a6efb,thomas plc,http://www.potter.net/,maldives,right-sized national projection,1972,telecommunications,2548",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"32,fa86cf14efab3dc,patton inc,http://moreno.info/,seychelles,cloned mobile architecture,2002,venture capital / vc,95",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"33,cafbcfc67ab9e31,gay inc,https://moses-dunn.com/,myanmar,polarized explicit focus group,2019,luxury goods / jewelry,8106",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"34,ad19ebcb2bb7ee5,house-perry,http://www.hogan.com/,maldives,vision-oriented 6thgeneration leverage,1977,arts / crafts,2938",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"35,9f8efb3d03193db,cortez llc,http://woodard.com/,antarctica (the territory south of 60 deg s),customer-focused background approach,1972,printing,9056",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"36,2c296ae0aa2ff5d,bridges-carroll,http://blevins-humphrey.com/,liechtenstein,extended 24hour implementation,1999,commercial real estate,8937",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"37,83f947d8ee5773b,powers-mack,https://www.berg.com/,falkland islands (malvinas),future-proofed grid-enabled application,1983,sporting goods,3985",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"38,d5a9ace6035f9ce,""baldwin, warner and russell"",http://www.hoffman.biz/,jersey,persistent disintermediate capacity,1997,legal services,7675",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"39,daa7bd2c863aa68,chase-saunders,https://www.carr.com/,palestinian territory,pre-emptive tertiary solution,1975,venture capital / vc,9145",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"40,d214d152bdf2f3d,hood-becker,http://www.houston.org/,botswana,automated methodical graphical user interface,2004,human resources / hr,1175",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"41,8f55cd0ad6dcde2,francis-frazier,https://roberts.biz/,christmas island,fully-configurable encompassing methodology,2015,gambling / casinos,6202",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"42,dcc0efbdf7b06d3,spence-tran,http://andrews.net/,united states of america,open-architected foreground flexibility,1996,package / freight delivery,7426",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"43,ef7e820bc9f7e49,mcdowell-dawson,http://www.townsend-farrell.com/,chad,front-line multimedia internet solution,1976,sporting goods,2861",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"44,28bf321ddd65af7,harrell llc,https://villegas.info/,puerto rico,up-sized upward-trending standardization,2011,motion pictures / film,2726",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"45,43c4fec9374ccdb,mayer-walter,http://www.ramos.com/,suriname,assimilated heuristic monitoring,1997,civic / social organization,4595",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"46,b6c7d83ac8b2f48,cooley-larson,https://washington.com/,sri lanka,advanced fresh-thinking encryption,1988,furniture,4171",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"47,dc6d6e7ea7deabd,henson ltd,https://www.conway.com/,heard island and mcdonald islands,decentralized 6thgeneration graphical user interface,2010,photography,406",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"48,cdc3230b0a7faa5,frye and sons,https://hughes.net/,vietnam,innovative global contingency,2003,library,746",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"49,10d5f8e3b8d31b0,""newton, ferguson and camacho"",http://barker-mata.com/,namibia,realigned incremental leverage,2020,pharmaceuticals,8287",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"50,ff0a16aceaad6de,""wall, chandler and chapman"",https://www.melendez.net/,dominican republic,reactive contextually-based pricing structure,1986,maritime,4604",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"51,9aaad5026aa8abf,leonard-wilkinson,http://houston-bailey.com/,chile,customer-focused mobile collaboration,1995,wholesale,8952",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"52,94fca153474415b,walter and sons,https://hull.com/,nigeria,synergistic bifurcated complexity,2014,information technology / it,440",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"53,bef92c0ca13e5b8,pratt llc,https://www.holland.info/,south georgia and the south sandwich islands,synchronized 4thgeneration moderator,1986,medical equipment,5359",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"54,ebd8bceefc9a560,hebert-santos,http://holloway.com/,cyprus,grass-roots optimal analyzer,2004,gambling / casinos,7982",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"55,a3bb544c4f950e5,hunt ltd,http://www.fritz.com/,bahrain,assimilated optimizing system engine,1977,primary / secondary education,1693",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"56,c38cf79de2e6b6a,""gillespie, hatfield and mccarty"",http://www.acosta-osborne.com/,indonesia,object-based zero administration time-frame,1982,education management,5784",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"57,f3ef8ff6a07463c,little ltd,https://kramer.net/,south africa,sharable coherent leverage,2016,publishing industry,7775",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"58,d3e19c1c996c3bb,merritt-mcgrath,http://odonnell.biz/,egypt,monitored value-added database,1988,maritime,6151",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"59,dedd9d0aa6115d3,collier and sons,http://www.woodward.com/,brazil,organized foreground forecast,2020,transportation,9151",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
