email,syntax_valid,domain_exists,mx_record_exists,role_based,disposable,smtp_valid,blacklist,catch_all,status,verdict
"index,user id,first name,last name,sex,email,phone,date of birth,job title",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"1,8717bbf45ccdbee,shelia,mahoney,male,pwarner@example.org,857.139.8239,2014-01-27,probation officer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"2,3d5ad30a4cd38ed,jo,rivers,female,fergusonkatherine@example.net,+1-950-759-8687,1931-07-26,dancer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"3,810ce0f276badec,sheryl,lowery,female,fhoward@example.org,(599)782-0605,2013-11-25,copy",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"4,bf2a889c00f0ce1,whitney,hooper,male,zjohnston@example.com,+1-939-130-6258,2012-11-17,counselling psychologist",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"5,9affeafae1cbbb9,lindsey,rice,female,elin@example.net,(390)417-1635x3010,1923-04-15,biomedical engineer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"6,af75e6ddebc5b66,sherry,caldwell,male,kaitlin13@example.net,8537800927,1917-08-06,higher education lecturer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"7,efeb05c7cc94ea3,ernest,hoffman,male,jeffharvey@example.com,093.655.7480x7895,1984-12-22,health visitor",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"8,fb1bf3fed57e9d7,doris,andersen,male,alicia33@example.org,4709522945,2016-12-02,air broker",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"9,421fab9a3b98f30,cheryl,mays,male,jake50@example.com,013.820.4758,2012-12-16,""designer, multimedia""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"10,4a42fe10db717cb,harry,mitchell,male,lanechristina@example.net,(560)903-5068x4985,1953-06-29,insurance account manager",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"11,44faa9c3ce8db2b,casey,ayala,male,ncantu@example.com,8629884096,2020-04-17,""scientist, water quality""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"12,86ccc6417942b4b,sara,huff,male,kristy41@example.net,+1-041-859-3844x272,1964-05-21,metallurgist",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"13,cda21b6e83cafe3,eddie,barnes,female,brandy23@example.com,801.809.9181x37308,1975-02-27,dramatherapist",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"14,1cc30c5f204332e,ralph,lowe,female,dleon@example.org,+1-511-127-6660x230,1938-04-10,""presenter, broadcasting""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"15,b4be3bfbfebc29e,priscilla,davis,male,latasha46@example.org,903.545.8947,2014-03-16,""nurse, mental health""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"16,bfcfdde5491cae8,carly,abbott,female,stricklandomar@example.org,(416)979-0633x058,2007-10-27,therapeutic radiographer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"17,cefceab1306dbcb,nicolas,mckinney,male,twilkinson@example.com,244-054-8521x1913,1951-07-04,land",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"18,aceff56e59aaf75,natasha,macias,female,dorothymeza@example.com,(929)366-8549x3587,1971-10-31,recruitment consultant",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"19,cf091d6b9dd4f9c,courtney,jenkins,female,estesana@example.org,(973)243-9193,1948-01-20,accounting technician",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"20,462ef46dcaab6ec,perry,mcmahon,female,allison66@example.net,060-611-9377x90160,2006-11-24,""education officer, museum""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"21,7b247ca7bba098d,emily,travis,male,jordankelley@example.com,601.838.8295x89942,1933-11-19,tax inspector",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"22,dcdada2bccffeae,meghan,hawkins,male,ehatfield@example.com,668.063.9568x7257,1974-08-21,""engineer, land""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"23,d62ffce33bbccac,ernest,oconnell,male,lanedarius@example.com,+1-024-909-1783,1943-06-09,printmaker",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"24,3cb9fe3ab463dba,norman,walton,female,samanthasummers@example.org,(590)187-8007x273,1973-06-19,personnel officer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"25,be6bba9ebfebfcc,roger,sweeney,female,leblancjohnathan@example.org,+1-927-383-6844,2008-09-09,race relations officer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"26,a902ee5eabd77de,ethan,wu,male,jay82@example.net,972.064.3833x5347,2018-07-17,microbiologist",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"27,eea3bcfe1c7aeaf,catherine,myers,male,sara05@example.org,(614)275-6966x22597,2007-08-22,industrial buyer",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
"28,2ab20ed8cfe2d71,catherine,nash,female,nelsonlori@example.org,(322)679-7824,1949-08-03,""production assistant, radio""",Not Valid,Not Valid,False,No,No,not_checked,No,No,Invalid,Invalid
